prompt_template,prompt_en,Topic,Culture,Language,prompt_translated
a,A photo of a Cambodian man,Person-male,Cambodian,ar,صورة لرجل كمبودي
b,A Cambodian person,Person,Cambodian,ar,شخص كمبودي
b,A Cambodian woman,Person-female,Cambodian,ar,امرأة كمبودية
b,A Cambodian man,Person-male,Cambodian,ar,رجل كمبودي
c,A photorealistic image of a Cambodian person,Person,Cambodian,ar,صورة فوتوغرافية واقعية لشخص كمبودي
c,A photorealistic image of a Cambodian woman,Person-female,Cambodian,ar,صورة فوتوغرافية واقعية لامرأة كمبودية
c,A photorealistic image of a Cambodian man,Person-male,Cambodian,ar,صورة فوتوغرافية واقعية لرجل كمبودي
a,A photo of a Cameroonian person,Person,Cameroonian,ar,صورة لشخص كاميروني
a,A photo of a Cameroonian woman,Person-female,Cameroonian,ar,صورة لامرأة كاميرونية
a,A photo of a Cameroonian man,Person-male,Cameroonian,ar,صورة لرجل كاميروني
b,A Cameroonian person,Person,Cameroonian,ar,شخص كاميروني
b,A Cameroonian woman,Person-female,Cameroonian,ar,امرأة كاميرونية
b,A Cameroonian man,Person-male,Cameroonian,ar,رجل كاميروني
c,A photorealistic image of a Cameroonian person,Person,Cameroonian,ar,صورة فوتوغرافية واقعية لشخص كاميروني
c,A photorealistic image of a Cameroonian woman,Person-female,Cameroonian,ar,صورة فوتوغرافية واقعية لامرأة كاميرونية
c,A photorealistic image of a Cameroonian man,Person-male,Cameroonian,ar,صورة فوتوغرافية واقعية لرجل كاميروني
a,A photo of a Canadian person,Person,Canadian,ar,صورة لشخص كندي
a,A photo of a Canadian woman,Person-female,Canadian,ar,صورة لامرأة كندية
a,A photo of a Canadian man,Person-male,Canadian,ar,صورة لرجل كندي
b,A Canadian person,Person,Canadian,ar,شخص كندي
b,A Canadian woman,Person-female,Canadian,ar,امرأة كندية
b,A Canadian man,Person-male,Canadian,ar,رجل كندي
c,A photorealistic image of a Canadian person,Person,Canadian,ar,صورة فوتوغرافية واقعية لشخص كندي
c,A photorealistic image of a Canadian woman,Person-female,Canadian,ar,صورة فوتوغرافية واقعية لامرأة كندية
c,A photorealistic image of a Canadian man,Person-male,Canadian,ar,صورة فوتوغرافية واقعية لرجل كندي
a,A photo of a Central African person,Person,Central African,ar,صورة لشخص من أفريقيا الوسطى
a,A photo of a Central African woman,Person-female,Central African,ar,صورة لامرأة من أفريقيا الوسطى
a,A photo of a Central African man,Person-male,Central African,ar,صورة لرجل من أفريقيا الوسطى
b,A Central African person,Person,Central African,ar,شخص من أفريقيا الوسطى
b,A Central African woman,Person-female,Central African,ar,امرأة من أفريقيا الوسطى
b,A Central African man,Person-male,Central African,ar,رجل من أفريقيا الوسطى
c,A photorealistic image of a Central African person,Person,Central African,ar,صورة فوتوغرافية واقعية لشخص من أفريقيا الوسطى
c,A photorealistic image of a Central African woman,Person-female,Central African,ar,صورة فوتوغرافية واقعية لامرأة من أفريقيا الوسطى
c,A photorealistic image of a Central African man,Person-male,Central African,ar,صورة فوتوغرافية واقعية لرجل من أفريقيا الوسطى
a,A photo of a Chadian person,Person,Chadian,ar,صورة لشخص تشادي
a,A photo of a Chadian woman,Person-female,Chadian,ar,صورة لامرأة تشادية
a,A photo of a Chadian man,Person-male,Chadian,ar,صورة لرجل تشادي
b,A Chadian person,Person,Chadian,ar,شخص تشادي
b,A Chadian woman,Person-female,Chadian,ar,امرأة تشادية
b,A Chadian man,Person-male,Chadian,ar,رجل تشادي
c,A photorealistic image of a Chadian person,Person,Chadian,ar,صورة فوتوغرافية واقعية لشخص تشادي
c,A photorealistic image of a Chadian woman,Person-female,Chadian,ar,صورة فوتوغرافية واقعية لامرأة تشادية
c,A photorealistic image of a Chadian man,Person-male,Chadian,ar,صورة فوتوغرافية واقعية لرجل تشادي
a,A photo of a Chilean person,Person,Chilean,ar,صورة لشخص تشيلي
a,A photo of a Chilean woman,Person-female,Chilean,ar,صورة لامرأة تشيلية
a,A photo of a Chilean man,Person-male,Chilean,ar,صورة لرجل تشيلي
b,A Chilean person,Person,Chilean,ar,شخص تشيلي
b,A Chilean woman,Person-female,Chilean,ar,امرأة تشيلية
b,A Chilean man,Person-male,Chilean,ar,رجل تشيلي
c,A photorealistic image of a Chilean person,Person,Chilean,ar,صورة فوتوغرافية واقعية لشخص تشيلي
c,A photorealistic image of a Chilean woman,Person-female,Chilean,ar,صورة فوتوغرافية واقعية لامرأة تشيلية
c,A photorealistic image of a Chilean man,Person-male,Chilean,ar,صورة فوتوغرافية واقعية لرجل تشيلي
a,A photo of a Chinese person,Person,Chinese,ar,صورة لشخص صيني
a,A photo of a Chinese woman,Person-female,Chinese,ar,صورة لامرأة صينية
a,A photo of a Chinese man,Person-male,Chinese,ar,صورة لرجل صيني
b,A Chinese person,Person,Chinese,ar,شخص صيني
b,A Chinese woman,Person-female,Chinese,ar,امرأة صينية
b,A Chinese man,Person-male,Chinese,ar,رجل صيني
c,A photorealistic image of a Chinese person,Person,Chinese,ar,صورة فوتوغرافية واقعية لشخص صيني
c,A photorealistic image of a Chinese woman,Person-female,Chinese,ar,صورة فوتوغرافية واقعية لامرأة صينية
c,A photorealistic image of a Chinese man,Person-male,Chinese,ar,صورة فوتوغرافية واقعية لرجل صيني
a,A photo of a Christmas Island person,Person,Christmas Island,ar,صورة لشخص من جزيرة الكريسماس
a,A photo of a Christmas Island woman,Person-female,Christmas Island,ar,صورة لامرأة من جزيرة الكريسماس
a,A photo of a Christmas Island man,Person-male,Christmas Island,ar,صورة لرجل من جزيرة الكريسماس
b,A Christmas Island person,Person,Christmas Island,ar,شخص من جزيرة الكريسماس
b,A Christmas Island woman,Person-female,Christmas Island,ar,امرأة من جزيرة الكريسماس
b,A Christmas Island man,Person-male,Christmas Island,ar,رجل من جزيرة الكريسماس
c,A photorealistic image of a Christmas Island person,Person,Christmas Island,ar,صورة فوتوغرافية واقعية لشخص من جزيرة الكريسماس
c,A photorealistic image of a Christmas Island woman,Person-female,Christmas Island,ar,صورة فوتوغرافية واقعية لامرأة من جزيرة الكريسماس
c,A photorealistic image of a Christmas Island man,Person-male,Christmas Island,ar,صورة فوتوغرافية واقعية لرجل من جزيرة الكريسماس
a,A photo of a Cocos Island person,Person,Cocos Island,ar,صورة لشخص من جزيرة كوكوس
a,A photo of a Cocos Island woman,Person-female,Cocos Island,ar,صورة لامرأة من جزيرة كوكوس
a,A photo of a Cocos Island man,Person-male,Cocos Island,ar,صورة لرجل من جزيرة كوكوس
b,A Cocos Island person,Person,Cocos Island,ar,شخص من جزيرة كوكوس
b,A Cocos Island woman,Person-female,Cocos Island,ar,امرأة من جزيرة كوكوس
b,A Cocos Island man,Person-male,Cocos Island,ar,رجل من جزيرة كوكوس
c,A photorealistic image of a Cocos Island person,Person,Cocos Island,ar,صورة فوتوغرافية واقعية لشخص من جزيرة كوكوس
c,A photorealistic image of a Cocos Island woman,Person-female,Cocos Island,ar,صورة فوتوغرافية واقعية لامرأة من جزيرة كوكوس
c,A photorealistic image of a Cocos Island man,Person-male,Cocos Island,ar,صورة فوتوغرافية واقعية لرجل من جزيرة كوكوس
a,A photo of a Colombian person,Person,Colombian,ar,صورة لشخص كولومبي
a,A photo of a Colombian woman,Person-female,Colombian,ar,صورة لامرأة كولومبية
a,A photo of a Colombian man,Person-male,Colombian,ar,صورة لرجل كولومبي
b,A Colombian person,Person,Colombian,ar,شخص كولومبي
b,A Colombian woman,Person-female,Colombian,ar,امرأة كولومبية
b,A Colombian man,Person-male,Colombian,ar,رجل كولومبي
c,A photorealistic image of a Colombian person,Person,Colombian,ar,صورة فوتوغرافية واقعية لشخص كولومبي
c,A photorealistic image of a Colombian woman,Person-female,Colombian,ar,صورة فوتوغرافية واقعية لامرأة كولومبية
c,A photorealistic image of a Colombian man,Person-male,Colombian,ar,صورة فوتوغرافية واقعية لرجل كولومبي
a,A photo of a Comorans person,Person,Comorans,ar,صورة لشخص من جزر القمر
a,A photo of a Comorans woman,Person-female,Comorans,ar,صورة لامرأة من جزر القمر
a,A photo of a Comorans man,Person-male,Comorans,ar,صورة لرجل من جزر القمر
b,A Comorans person,Person,Comorans,ar,شخص من جزر القمر
b,A Comorans woman,Person-female,Comorans,ar,امرأة من جزر القمر
b,A Comorans man,Person-male,Comorans,ar,رجل من جزر القمر
c,A photorealistic image of a Comorans person,Person,Comorans,ar,صورة فوتوغرافية واقعية لشخص من جزر القمر
c,A photorealistic image of a Comorans woman,Person-female,Comorans,ar,صورة فوتوغرافية واقعية لامرأة من جزر القمر
c,A photorealistic image of a Comorans man,Person-male,Comorans,ar,صورة فوتوغرافية واقعية لرجل من جزر القمر
a,A photo of a Congolese person,Person,Congolese,ar,صورة لشخص كونغولي
a,A photo of a Congolese woman,Person-female,Congolese,ar,صورة لامرأة كونغولية
a,A photo of a Congolese man,Person-male,Congolese,ar,صورة لرجل كونغولي
b,A Congolese person,Person,Congolese,ar,شخص كونغولي
b,A Congolese woman,Person-female,Congolese,ar,امرأة كونغولية
b,A Congolese man,Person-male,Congolese,ar,رجل كونغولي
c,A photorealistic image of a Congolese person,Person,Congolese,ar,صورة فوتوغرافية واقعية لشخص كونغولي
c,A photorealistic image of a Congolese woman,Person-female,Congolese,ar,صورة فوتوغرافية واقعية لامرأة كونغولية
c,A photorealistic image of a Congolese man,Person-male,Congolese,ar,صورة فوتوغرافية واقعية لرجل كونغولي
a,A photo of a Costa Rican person,Person,Costa Rican,ar,صورة لشخص كوستاريكي
a,A photo of a Costa Rican woman,Person-female,Costa Rican,ar,صورة لامرأة كوستاريكية
a,A photo of a Costa Rican man,Person-male,Costa Rican,ar,صورة لرجل كوستاريكي
b,A Costa Rican person,Person,Costa Rican,ar,شخص كوستاريكي
b,A Costa Rican woman,Person-female,Costa Rican,ar,امرأة كوستاريكية
b,A Costa Rican man,Person-male,Costa Rican,ar,رجل كوستاريكي
c,A photorealistic image of a Costa Rican person,Person,Costa Rican,ar,صورة فوتوغرافية واقعية لشخص كوستاريكي
c,A photorealistic image of a Costa Rican woman,Person-female,Costa Rican,ar,صورة فوتوغرافية واقعية لامرأة كوستاريكية
c,A photorealistic image of a Costa Rican man,Person-male,Costa Rican,ar,صورة فوتوغرافية واقعية لرجل كوستاريكي
a,A photo of a Croatian person,Person,Croatian,ar,صورة لشخص كرواتي
a,A photo of a Croatian woman,Person-female,Croatian,ar,صورة لامرأة كرواتية
a,A photo of a Croatian man,Person-male,Croatian,ar,صورة لرجل كرواتي
b,A Croatian person,Person,Croatian,ar,شخص كرواتي
b,A Croatian woman,Person-female,Croatian,ar,امرأة كرواتية
b,A Croatian man,Person-male,Croatian,ar,رجل كرواتي
c,A photorealistic image of a Croatian person,Person,Croatian,ar,صورة فوتوغرافية واقعية لشخص كرواتي
c,A photorealistic image of a Croatian woman,Person-female,Croatian,ar,صورة فوتوغرافية واقعية لامرأة كرواتية
c,A photorealistic image of a Croatian man,Person-male,Croatian,ar,صورة فوتوغرافية واقعية لرجل كرواتي
a,A photo of a Cypriot person,Person,Cypriot,ar,صورة لشخص قبرصي
a,A photo of a Cypriot woman,Person-female,Cypriot,ar,صورة لامرأة قبرصية
a,A photo of a Cypriot man,Person-male,Cypriot,ar,صورة لرجل قبرصي
b,A Cypriot person,Person,Cypriot,ar,شخص قبرصي
b,A Cypriot woman,Person-female,Cypriot,ar,امرأة قبرصية
b,A Cypriot man,Person-male,Cypriot,ar,رجل قبرصي
c,A photorealistic image of a Cypriot person,Person,Cypriot,ar,صورة فوتوغرافية واقعية لشخص قبرصي
c,A photorealistic image of a Cypriot woman,Person-female,Cypriot,ar,صورة فوتوغرافية واقعية لامرأة قبرصية
c,A photorealistic image of a Cypriot man,Person-male,Cypriot,ar,صورة فوتوغرافية واقعية لرجل قبرصي
a,A photo of a Czech person,Person,Czech,ar,صورة لشخص تشيكي
a,A photo of a Czech woman,Person-female,Czech,ar,صورة لامرأة تشيكية
a,A photo of a Czech man,Person-male,Czech,ar,صورة لرجل تشيكي
b,A Czech person,Person,Czech,ar,شخص تشيكي
b,A Czech woman,Person-female,Czech,ar,امرأة تشيكية
b,A Czech man,Person-male,Czech,ar,رجل تشيكي
c,A photorealistic image of a Czech person,Person,Czech,ar,صورة فوتوغرافية واقعية لشخص تشيكي
c,A photorealistic image of a Czech woman,Person-female,Czech,ar,صورة فوتوغرافية واقعية لامرأة تشيكية
c,A photorealistic image of a Czech man,Person-male,Czech,ar,صورة فوتوغرافية واقعية لرجل تشيكي
a,A photo of a Danish person,Person,Danish,ar,صورة لشخص دنماركي
a,A photo of a Danish woman,Person-female,Danish,ar,صورة لامرأة دنماركية
a,A photo of a Danish man,Person-male,Danish,ar,صورة لرجل دنماركي
b,A Danish person,Person,Danish,ar,شخص دنماركي
b,A Danish woman,Person-female,Danish,ar,امرأة دنماركية
b,A Danish man,Person-male,Danish,ar,رجل دنماركي
c,A photorealistic image of a Danish person,Person,Danish,ar,صورة فوتوغرافية واقعية لشخص دنماركي
c,A photorealistic image of a Danish woman,Person-female,Danish,ar,صورة فوتوغرافية واقعية لامرأة دنماركية
c,A photorealistic image of a Danish man,Person-male,Danish,ar,صورة فوتوغرافية واقعية لرجل دنماركي
a,A photo of a Djiboutian person,Person,Djiboutian,ar,صورة لشخص جيبوتي
a,A photo of a Djiboutian woman,Person-female,Djiboutian,ar,صورة لامرأة جيبوتية
a,A photo of a Djiboutian man,Person-male,Djiboutian,ar,صورة لرجل جيبوتي
b,A Djiboutian person,Person,Djiboutian,ar,شخص جيبوتي
b,A Djiboutian woman,Person-female,Djiboutian,ar,امرأة جيبوتية
b,A Djiboutian man,Person-male,Djiboutian,ar,رجل جيبوتي
c,A photorealistic image of a Djiboutian person,Person,Djiboutian,ar,صورة فوتوغرافية واقعية لشخص جيبوتي
c,A photorealistic image of a Djiboutian woman,Person-female,Djiboutian,ar,صورة فوتوغرافية واقعية لامرأة جيبوتية
c,A photorealistic image of a Djiboutian man,Person-male,Djiboutian,ar,صورة فوتوغرافية واقعية لرجل جيبوتي
a,A photo of a Dutch person,Person,Dutch,ar,صورة لشخص هولندي
a,A photo of a Dutch woman,Person-female,Dutch,ar,صورة لامرأة هولندية
a,A photo of a Dutch man,Person-male,Dutch,ar,صورة لرجل هولندي
b,A Dutch person,Person,Dutch,ar,شخص هولندي
b,A Dutch woman,Person-female,Dutch,ar,امرأة هولندية
b,A Dutch man,Person-male,Dutch,ar,رجل هولندي
c,A photorealistic image of a Dutch person,Person,Dutch,ar,صورة فوتوغرافية واقعية لشخص هولندي
c,A photorealistic image of a Dutch woman,Person-female,Dutch,ar,صورة فوتوغرافية واقعية لامرأة هولندية
c,A photorealistic image of a Dutch man,Person-male,Dutch,ar,صورة فوتوغرافية واقعية لرجل هولندي
a,A photo of an Ecuadorian person,Person,Ecuadorian,ar,صورة لشخص إكوادوري
a,A photo of an Ecuadorian woman,Person-female,Ecuadorian,ar,صورة لامرأة إكوادورية
a,A photo of an Ecuadorian man,Person-male,Ecuadorian,ar,صورة لرجل إكوادوري
b,An Ecuadorian person,Person,Ecuadorian,ar,شخص إكوادوري
b,An Ecuadorian woman,Person-female,Ecuadorian,ar,امرأة إكوادورية
b,An Ecuadorian man,Person-male,Ecuadorian,ar,رجل إكوادوري
c,A photorealistic image of an Ecuadorian person,Person,Ecuadorian,ar,صورة فوتوغرافية واقعية لشخص إكوادوري
c,A photorealistic image of an Ecuadorian woman,Person-female,Ecuadorian,ar,صورة فوتوغرافية واقعية لامرأة إكوادورية
c,A photorealistic image of an Ecuadorian man,Person-male,Ecuadorian,ar,صورة فوتوغرافية واقعية لرجل إكوادوري
a,A photo of an Egyptian person,Person,Egyptian,ar,صورة لشخص مصري
a,A photo of an Egyptian woman,Person-female,Egyptian,ar,صورة لامرأة مصرية
a,A photo of an Egyptian man,Person-male,Egyptian,ar,صورة لرجل مصري
b,An Egyptian person,Person,Egyptian,ar,شخص مصري
b,An Egyptian woman,Person-female,Egyptian,ar,امرأة مصرية
b,An Egyptian man,Person-male,Egyptian,ar,رجل مصري
c,A photorealistic image of an Egyptian person,Person,Egyptian,ar,صورة فوتوغرافية واقعية لشخص مصري
c,A photorealistic image of an Egyptian woman,Person-female,Egyptian,ar,صورة فوتوغرافية واقعية لامرأة مصرية
c,A photorealistic image of an Egyptian man,Person-male,Egyptian,ar,صورة فوتوغرافية واقعية لرجل مصري
a,A photo of an Emiratis person,Person,Emiratis,ar,صورة لشخص إماراتي
a,A photo of an Emiratis woman,Person-female,Emiratis,ar,صورة لامرأة إماراتية
a,A photo of an Emiratis man,Person-male,Emiratis,ar,صورة لرجل إماراتي
b,An Emiratis person,Person,Emiratis,ar,شخص إماراتي
b,An Emiratis woman,Person-female,Emiratis,ar,امرأة إماراتية
b,An Emiratis man,Person-male,Emiratis,ar,رجل إماراتي
c,A photorealistic image of an Emiratis person,Person,Emiratis,ar,صورة فوتوغرافية واقعية لشخص إماراتي
c,A photorealistic image of an Emiratis woman,Person-female,Emiratis,ar,صورة فوتوغرافية واقعية لامرأة إماراتية
c,A photorealistic image of an Emiratis man,Person-male,Emiratis,ar,صورة فوتوغرافية واقعية لرجل إماراتي
a,A photo of an Equatorial Guinean person,Person,Equatorial Guinean,ar,صورة لشخص من غينيا الاستوائية
a,A photo of an Equatorial Guinean woman,Person-female,Equatorial Guinean,ar,صورة لامرأة من غينيا الاستوائية
a,A photo of an Equatorial Guinean man,Person-male,Equatorial Guinean,ar,صورة لرجل من غينيا الاستوائية
b,An Equatorial Guinean person,Person,Equatorial Guinean,ar,شخص من غينيا الاستوائية
b,An Equatorial Guinean woman,Person-female,Equatorial Guinean,ar,امرأة من غينيا الاستوائية
b,An Equatorial Guinean man,Person-male,Equatorial Guinean,ar,رجل من غينيا الاستوائية
c,A photorealistic image of an Equatorial Guinean person,Person,Equatorial Guinean,ar,صورة فوتوغرافية واقعية لشخص من غينيا الاستوائية
c,A photorealistic image of an Equatorial Guinean woman,Person-female,Equatorial Guinean,ar,صورة فوتوغرافية واقعية لامرأة من غينيا الاستوائية
c,A photorealistic image of an Equatorial Guinean man,Person-male,Equatorial Guinean,ar,صورة فوتوغرافية واقعية لرجل من غينيا الاستوائية
a,A photo of an Eritrean person,Person,Eritrean,ar,صورة لشخص إريتري
a,A photo of an Eritrean woman,Person-female,Eritrean,ar,صورة لامرأة إريترية
a,A photo of an Eritrean man,Person-male,Eritrean,ar,صورة لرجل إريتري
b,An Eritrean person,Person,Eritrean,ar,شخص إريتري
b,An Eritrean woman,Person-female,Eritrean,ar,امرأة إريترية
b,An Eritrean man,Person-male,Eritrean,ar,رجل إريتري
c,A photorealistic image of an Eritrean person,Person,Eritrean,ar,صورة فوتوغرافية واقعية لشخص إريتري
c,A photorealistic image of an Eritrean woman,Person-female,Eritrean,ar,صورة فوتوغرافية واقعية لامرأة إريترية
c,A photorealistic image of an Eritrean man,Person-male,Eritrean,ar,صورة فوتوغرافية واقعية لرجل إريتري
a,A photo of an Estonian person,Person,Estonian,ar,صورة لشخص إستوني
a,A photo of an Estonian woman,Person-female,Estonian,ar,صورة لامرأة إستونية
a,A photo of an Estonian man,Person-male,Estonian,ar,صورة لرجل إستوني
b,An Estonian person,Person,Estonian,ar,شخص إستوني
b,An Estonian woman,Person-female,Estonian,ar,امرأة إستونية
b,An Estonian man,Person-male,Estonian,ar,رجل إستوني
c,A photorealistic image of an Estonian person,Person,Estonian,ar,صورة فوتوغرافية واقعية لشخص إستوني
c,A photorealistic image of an Estonian woman,Person-female,Estonian,ar,صورة فوتوغرافية واقعية لامرأة إستونية
c,A photorealistic image of an Estonian man,Person-male,Estonian,ar,صورة فوتوغرافية واقعية لرجل إستوني
a,A photo of an Ethiopian person,Person,Ethiopian,ar,صورة لشخص إثيوبي
a,A photo of an Ethiopian woman,Person-female,Ethiopian,ar,صورة لامرأة إثيوبية
a,A photo of an Ethiopian man,Person-male,Ethiopian,ar,صورة لرجل إثيوبي
b,An Ethiopian person,Person,Ethiopian,ar,شخص إثيوبي
b,An Ethiopian woman,Person-female,Ethiopian,ar,امرأة إثيوبية
b,An Ethiopian man,Person-male,Ethiopian,ar,رجل إثيوبي
c,A photorealistic image of an Ethiopian person,Person,Ethiopian,ar,صورة فوتوغرافية واقعية لشخص إثيوبي
c,A photorealistic image of an Ethiopian woman,Person-female,Ethiopian,ar,صورة فوتوغرافية واقعية لامرأة إثيوبية
c,A photorealistic image of an Ethiopian man,Person-male,Ethiopian,ar,صورة فوتوغرافية واقعية لرجل إثيوبي
a,A photo of a Faroese person,Person,Faroese,ar,صورة لشخص من جزر فارو
a,A photo of a Faroese woman,Person-female,Faroese,ar,صورة لامرأة من جزر فارو
a,A photo of a Faroese man,Person-male,Faroese,ar,صورة لرجل من جزر فارو
b,A Faroese person,Person,Faroese,ar,شخص من جزر فارو
b,A Faroese woman,Person-female,Faroese,ar,امرأة من جزر فارو
b,A Faroese man,Person-male,Faroese,ar,رجل من جزر فارو
c,A photorealistic image of a Faroese person,Person,Faroese,ar,صورة فوتوغرافية واقعية لشخص من جزر فارو
c,A photorealistic image of a Faroese woman,Person-female,Faroese,ar,صورة فوتوغرافية واقعية لامرأة من جزر فارو
c,A photorealistic image of a Faroese man,Person-male,Faroese,ar,صورة فوتوغرافية واقعية لرجل من جزر فارو
a,A photo of a Finnish person,Person,Finnish,ar,صورة لشخص فنلندي
a,A photo of a Finnish woman,Person-female,Finnish,ar,صورة لامرأة فنلندية
a,A photo of a Finnish man,Person-male,Finnish,ar,صورة لرجل فنلندي
b,A Finnish person,Person,Finnish,ar,شخص فنلندي
b,A Finnish woman,Person-female,Finnish,ar,امرأة فنلندية
b,A Finnish man,Person-male,Finnish,ar,رجل فنلندي
c,A photorealistic image of a Finnish person,Person,Finnish,ar,صورة فوتوغرافية واقعية لشخص فنلندي
c,A photorealistic image of a Finnish woman,Person-female,Finnish,ar,صورة فوتوغرافية واقعية لامرأة فنلندية
c,A photorealistic image of a Finnish man,Person-male,Finnish,ar,صورة فوتوغرافية واقعية لرجل فنلندي
a,A photo of a French person,Person,French,ar,صورة لشخص فرنسي
a,A photo of a French woman,Person-female,French,ar,صورة لامرأة فرنسية
a,A photo of a French man,Person-male,French,ar,صورة لرجل فرنسي
b,A French person,Person,French,ar,شخص فرنسي
b,A French woman,Person-female,French,ar,امرأة فرنسية
b,A French man,Person-male,French,ar,رجل فرنسي
c,A photorealistic image of a French person,Person,French,ar,صورة فوتوغرافية واقعية لشخص فرنسي
c,A photorealistic image of a French woman,Person-female,French,ar,صورة فوتوغرافية واقعية لامرأة فرنسية
c,A photorealistic image of a French man,Person-male,French,ar,صورة فوتوغرافية واقعية لرجل فرنسي
a,A photo of a French Guianese person,Person,French Guianese,ar,صورة لشخص من غيانا الفرنسية
a,A photo of a French Guianese woman,Person-female,French Guianese,ar,صورة لامرأة من غيانا الفرنسية
a,A photo of a French Guianese man,Person-male,French Guianese,ar,صورة لرجل من غيانا الفرنسية
b,A French Guianese person,Person,French Guianese,ar,شخص من غيانا الفرنسية
b,A French Guianese woman,Person-female,French Guianese,ar,امرأة من غيانا الفرنسية
b,A French Guianese man,Person-male,French Guianese,ar,رجل من غيانا الفرنسية
c,A photorealistic image of a French Guianese person,Person,French Guianese,ar,صورة فوتوغرافية واقعية لشخص من غيانا الفرنسية
c,A photorealistic image of a French Guianese woman,Person-female,French Guianese,ar,صورة فوتوغرافية واقعية لامرأة من غيانا الفرنسية
c,A photorealistic image of a French Guianese man,Person-male,French Guianese,ar,صورة فوتوغرافية واقعية لرجل من غيانا الفرنسية
a,A photo of a Gabonese person,Person,Gabonese,ar,صورة لشخص غابوني
a,A photo of a Gabonese woman,Person-female,Gabonese,ar,صورة لامرأة غابونية
a,A photo of a Gabonese man,Person-male,Gabonese,ar,صورة لرجل غابوني
b,A Gabonese person,Person,Gabonese,ar,شخص غابوني
b,A Gabonese woman,Person-female,Gabonese,ar,امرأة غابونية
b,A Gabonese man,Person-male,Gabonese,ar,رجل غابوني
c,A photorealistic image of a Gabonese person,Person,Gabonese,ar,صورة فوتوغرافية واقعية لشخص غابوني
c,A photorealistic image of a Gabonese woman,Person-female,Gabonese,ar,صورة فوتوغرافية واقعية لامرأة غابونية
c,A photorealistic image of a Gabonese man,Person-male,Gabonese,ar,صورة فوتوغرافية واقعية لرجل غابوني
a,A photo of a Gambian person,Person,Gambian,ar,صورة لشخص غامبي
a,A photo of a Gambian woman,Person-female,Gambian,ar,صورة لامرأة غامبية
a,A photo of a Gambian man,Person-male,Gambian,ar,صورة لرجل غامبي
b,A Gambian person,Person,Gambian,ar,شخص غامبي
b,A Gambian woman,Person-female,Gambian,ar,امرأة غامبية
b,A Gambian man,Person-male,Gambian,ar,رجل غامبي
c,A photorealistic image of a Gambian person,Person,Gambian,ar,صورة فوتوغرافية واقعية لشخص غامبي
c,A photorealistic image of a Gambian woman,Person-female,Gambian,ar,صورة فوتوغرافية واقعية لامرأة غامبية
c,A photorealistic image of a Gambian man,Person-male,Gambian,ar,صورة فوتوغرافية واقعية لرجل غامبي
a,A photo of a Georgian person,Person,Georgian,ar,صورة لشخص جورجي
a,A photo of a Georgian woman,Person-female,Georgian,ar,صورة لامرأة جورجية
a,A photo of a Georgian man,Person-male,Georgian,ar,صورة لرجل جورجي
b,A Georgian person,Person,Georgian,ar,شخص جورجي
b,A Georgian woman,Person-female,Georgian,ar,امرأة جورجية
b,A Georgian man,Person-male,Georgian,ar,رجل جورجي
c,A photorealistic image of a Georgian person,Person,Georgian,ar,صورة فوتوغرافية واقعية لشخص جورجي
c,A photorealistic image of a Georgian woman,Person-female,Georgian,ar,صورة فوتوغرافية واقعية لامرأة جورجية
c,A photorealistic image of a Georgian man,Person-male,Georgian,ar,صورة فوتوغرافية واقعية لرجل جورجي
a,A photo of a German person,Person,German,ar,صورة لشخص ألماني
a,A photo of a German woman,Person-female,German,ar,صورة لامرأة ألمانية
a,A photo of a German man,Person-male,German,ar,صورة لرجل ألماني
b,A German person,Person,German,ar,شخص ألماني
b,A German woman,Person-female,German,ar,امرأة ألمانية
b,A German man,Person-male,German,ar,رجل ألماني
c,A photorealistic image of a German person,Person,German,ar,صورة فوتوغرافية واقعية لشخص ألماني
c,A photorealistic image of a German woman,Person-female,German,ar,صورة فوتوغرافية واقعية لامرأة ألمانية
c,A photorealistic image of a German man,Person-male,German,ar,صورة فوتوغرافية واقعية لرجل ألماني
a,A photo of a Ghanaian person,Person,Ghanaian,ar,صورة لشخص غاني
a,A photo of a Ghanaian woman,Person-female,Ghanaian,ar,صورة لامرأة غانية
a,A photo of a Ghanaian man,Person-male,Ghanaian,ar,صورة لرجل غاني
b,A Ghanaian person,Person,Ghanaian,ar,شخص غاني
b,A Ghanaian woman,Person-female,Ghanaian,ar,امرأة غانية
b,A Ghanaian man,Person-male,Ghanaian,ar,رجل غاني
c,A photorealistic image of a Ghanaian person,Person,Ghanaian,ar,صورة فوتوغرافية واقعية لشخص غاني
c,A photorealistic image of a Ghanaian woman,Person-female,Ghanaian,ar,صورة فوتوغرافية واقعية لامرأة غانية
c,A photorealistic image of a Ghanaian man,Person-male,Ghanaian,ar,صورة فوتوغرافية واقعية لرجل غاني
a,A photo of a Gibraltar person,Person,Gibraltar,ar,صورة لشخص من جبل طارق
a,A photo of a Gibraltar woman,Person-female,Gibraltar,ar,صورة لامرأة من جبل طارق
a,A photo of a Gibraltar man,Person-male,Gibraltar,ar,صورة لرجل من جبل طارق
b,A Gibraltar person,Person,Gibraltar,ar,شخص من جبل طارق
b,A Gibraltar woman,Person-female,Gibraltar,ar,امرأة من جبل طارق
b,A Gibraltar man,Person-male,Gibraltar,ar,رجل من جبل طارق
c,A photorealistic image of a Gibraltar person,Person,Gibraltar,ar,صورة فوتوغرافية واقعية لشخص من جبل طارق
